                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94844,                 1.4163,                0.97166,                 0.9045,                0.36049,                0.46417,                0.26492,                  1.419,                 3.4941,                 1.0623,             0.00082925,             0.00082925,             0.00082925
                     36,                0.97139,                 1.3384,                0.91876,                      1,                 0.1447,                0.78162,                0.33442,                 1.4432,                 3.3414,                 1.0943,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0371,                 1.4046,                0.93797,                0.86601,                0.22418,                0.71473,                0.37908,                 1.5083,                 3.1899,                  1.126,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1071,                 1.4274,                 0.9405,                0.91268,                0.36531,                0.90404,                0.51932,                 1.5114,                 3.0645,                 1.1291,             0.00079213,             0.00079213,             0.00079213
                     39,                0.92729,                 1.5206,                0.91255,                0.88101,                0.33117,                0.88458,                0.54222,                 1.5124,                 2.8462,                 1.1357,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.1805,                 1.3667,                0.98167,                0.90005,                0.48827,                0.89244,                0.59527,                 1.5172,                 2.8763,                 1.1355,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.2203,                 1.6478,                 1.0661,                0.74527,                 0.5698,                0.71384,                  0.491,                 1.5716,                 2.8034,                 1.1736,               0.000755,               0.000755,               0.000755
                     42,                 1.0006,                 1.1851,                0.94893,                0.76419,                0.59037,                0.74649,                0.51884,                 1.5608,                  2.605,                 1.1903,             0.00074263,             0.00074263,             0.00074263
                     43,                0.89416,                 1.2172,                0.90871,                0.54704,                0.85388,                0.86694,                  0.644,                 1.5695,                 2.2359,                  1.171,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.9442,                 1.2707,                0.93272,                0.84941,                0.52875,                0.90661,                0.59474,                 1.5529,                  2.089,                 1.1232,             0.00071788,             0.00071788,             0.00071788
                     45,                0.94609,                 1.1471,                0.90794,                0.83995,                0.52555,                0.90071,                0.54939,                 1.5986,                 2.2368,                 1.1326,              0.0007055,              0.0007055,              0.0007055
                     46,                0.87444,                 1.2375,                0.91873,                0.84673,                0.51392,                0.83094,                0.54285,                 1.6853,                 2.2208,                 1.1825,             0.00069313,             0.00069313,             0.00069313
                     47,                0.88868,                 1.1702,                 0.9101,                0.86117,                0.49728,                0.87261,                0.52896,                  1.755,                 2.0966,                 1.2381,             0.00068075,             0.00068075,             0.00068075
                     48,                0.83047,                 1.0893,                 0.8722,                0.81958,                0.56704,                0.87261,                0.51885,                 1.7541,                 1.8449,                 1.2716,             0.00066838,             0.00066838,             0.00066838
                     49,                0.81863,                 1.3086,                0.93131,                0.60531,                0.90756,                0.87654,                0.55201,                 1.7129,                 1.7109,                 1.2574,               0.000656,               0.000656,               0.000656
                     50,                0.94317,                 1.0114,                0.88801,                0.64525,                0.83333,                0.88362,                0.58763,                 1.5641,                 1.5744,                 1.1821,             0.00064362,             0.00064362,             0.00064362
                     51,                0.86879,                 1.0465,                0.89102,                0.73146,                0.83333,                0.90071,                0.57361,                 1.5164,                 1.4692,                  1.179,             0.00063125,             0.00063125,             0.00063125
                     52,                0.84093,                 0.9658,                0.88341,                0.80669,                0.83333,                0.90071,                0.53106,                 1.5766,                 1.4882,                 1.1922,             0.00061887,             0.00061887,             0.00061887
                     53,                0.80631,                 1.0121,                0.87041,                0.80441,                0.83333,                0.89394,                0.54349,                 1.5982,                 1.4993,                 1.1657,              0.0006065,              0.0006065,              0.0006065
                     54,                0.80696,                 1.1126,                0.88115,                0.72036,                 0.8464,                 0.9345,                0.57411,                 1.5784,                  1.555,                 1.1426,             0.00059413,             0.00059413,             0.00059413
                     55,                0.94958,                 1.0572,                0.97979,                0.59891,                0.91667,                0.92625,                0.57432,                 1.5287,                 1.5498,                 1.1267,             0.00058175,             0.00058175,             0.00058175
                     56,                  0.792,                0.99695,                 0.8746,                0.74897,                0.99571,                0.95375,                0.58719,                 1.4577,                 1.4894,                 1.1123,             0.00056938,             0.00056938,             0.00056938
                     57,                0.80928,                  1.045,                0.89153,                0.72853,                   0.75,                0.95375,                0.61125,                 1.3663,                  1.386,                 1.0751,               0.000557,               0.000557,               0.000557
                     58,                0.76255,                0.96202,                0.86466,                0.93043,                0.65909,                0.97437,                0.63293,                 1.3232,                 1.3846,                 1.0593,             0.00054463,             0.00054463,             0.00054463
                     59,                0.85272,                0.95972,                0.87034,                0.88873,                0.73569,                  0.995,                0.65755,                 1.3244,                 1.4007,                 1.0607,             0.00053225,             0.00053225,             0.00053225
